Company,Location,Salary
سیمرغ | Simorgh,اصفهان، اصفهان,15000000
ولتیفای | Walletifai,تهران، تهران,40000000
نوآوران پردازش گستر نصر | Noavaran Pardazesh Gostar Nasr,تهران، تهران,20000000
نرم افزاری آدا | Ada Company,تهران، تهران,30000000
تمرکز رایا افزار | Raya afzar,تهران، تهران,26000000
آفاق سیر | Afaghseir,تهران، تهران,7000000
تمرکز رایا افزار | Raya afzar,تهران، تهران,26000000
تمرکز رایا افزار | Raya afzar,تهران، تهران,26000000
مهنا | Mahna,تهران، تهران,14000000
تجارت الکترونیک اول | Tejarat Electronic Aval,تهران، تهران,10000000
آریا | Arya,تهران، تهران,20000000
ترنج رهیافت نسل جدید | Toranj,خراسان رضوی، مشهد,16000000
چادکو | Chadco,فارس، شیراز,20000000
آی تی ساز | ITSaaZ,تهران، تهران,20000000
ورک بی | Workby,تهران، تهران,30000000
ایرانیکارت | IraniCard,اصفهان، اصفهان,24000000
ماناسرور | Mana Server,تهران، تهران,9000000
وب مهر | Web Mehr,تهران، تهران,9000000
خدمات انفورماتیک نوین کیش | Novin-Kish Informatics Services Corporation,تهران، تهران,20000000
طرح اندیشان پویا | Tarh Andishan Puya,تهران، تهران,15000000
باکسیت | Boxit,تهران، تهران,20000000
شیرازتخفیف | Shiraz Takhfif,فارس، شیراز,12000000
جیبی‌مو | Jibimo,تهران، تهران,18000000
شرکت هوشمند تجارت نمودار | Nemoudar Business Intelligence,تهران، تهران,15000000
گلستان | Golestan,تهران، تهران,20000000
باکسیت | Boxit,تهران، تهران,30000000
پیشرو فناور هوشمند گیتی | Pishro Group,تهران، تهران,22000000
ایمن کاوان کیهان | Imen Kavan Keyhan,تهران، تهران,14000000
دانا پرداز  | DANA PARDAZ,تهران، تهران,30000000
سامان تراز | Besterun,تهران، تهران,8000000
لوله گستر گلپایگان | Loole Gostar Golpayegan,تهران، تهران,20000000
دانش نوین | Danesh Novin,تهران، تهران,30000000
چارت باکس | Chartbox,تهران، تهران,20000000
کاوه مکاترونیک آریا (کاما) | Kama,تهران، تهران,30000000
مرکز رشد صاعدرایان | Saedrayan,تهران، تهران,15000000
استودیو کریتیو باگ | Creative Bug Studio,خراسان رضوی، مشهد,24000000
ارسنا | Arasnna,هرمزگان، قشم,10000000
فراز اس ام اس  | Faraz Sms,تهران، تهران,11000000
